"행정구역","2020년07월_남_총인구수","2020년07월_남_연령구간인구수","2020년07월_남_0~9세","2020년07월_남_10~19세","2020년07월_남_20~29세","2020년07월_남_30~39세","2020년07월_남_40~49세","2020년07월_남_50~59세","2020년07월_남_60~69세","2020년07월_남_70~79세","2020년07월_남_80~89세","2020년07월_남_90~99세","2020년07월_남_100세 이상","2020년07월_여_총인구수","2020년07월_여_연령구간인구수","2020년07월_여_0~9세","2020년07월_여_10~19세","2020년07월_여_20~29세","2020년07월_여_30~39세","2020년07월_여_40~49세","2020년07월_여_50~59세","2020년07월_여_60~69세","2020년07월_여_70~79세","2020년07월_여_80~89세","2020년07월_여_90~99세","2020년07월_여_100세 이상"
"경기도 용인시 처인구 포곡읍(4146125000)","17,216","17,216","1,220","2,082","2,648","2,148","3,144","3,049","1,757","814","334","20","0","16,000","16,000","1,170","1,796","2,032","1,849","2,901","2,721","1,765","1,075","600","90","1"
"경기도 용인시 처인구 모현읍(4146125300)","13,585","13,585","1,031","1,223","1,807","1,618","2,405","2,504","1,767","888","316","24","2","12,275","12,275","924","1,133","1,434","1,476","2,005","2,091","1,692","967","462","86","5"
"경기도 용인시 처인구 이동읍(4146125600)","10,312","10,312","811","946","1,225","1,271","1,838","1,932","1,357","663","246","22","1","9,867","9,867","815","870","897","1,089","1,526","1,765","1,461","838","493","106","7"
"경기도 용인시 처인구 남사면(4146132000)","11,796","11,796","1,634","875","1,043","2,115","2,205","1,569","1,348","768","212","27","0","11,572","11,572","1,577","915","958","2,161","1,772","1,560","1,431","747","372","74","5"
"경기도 용인시 처인구 원삼면(4146134000)","4,307","4,307","174","297","424","440","615","863","831","472","169","22","0","3,921","3,921","168","271","332","302","470","759","787","461","312","55","4"
"경기도 용인시 처인구 백암면(4146135000)","4,859","4,859","133","567","530","455","627","903","941","450","229","23","1","4,173","4,173","103","480","356","287","409","737","795","524","406","72","4"
"경기도 용인시 처인구 양지면(4146136000)","10,909","10,909","678","1,982","1,409","1,286","1,680","1,756","1,312","576","204","25","1","9,169","9,169","631","1,193","1,029","1,007","1,405","1,629","1,180","606","389","91","9"
"경기도 용인시 처인구 중앙동(4146151000)","12,371","12,371","807","1,135","2,286","1,722","2,041","2,086","1,384","644","239","22","5","12,086","12,086","808","1,069","2,069","1,452","1,844","2,079","1,464","807","410","77","7"
"경기도 용인시 처인구 역삼동(4146152000)","22,249","22,249","2,574","2,303","3,610","3,790","3,923","3,094","1,780","860","287","26","2","22,058","22,058","2,412","2,180","3,366","3,685","3,785","3,189","1,884","999","454","97","7"
"경기도 용인시 처인구 유림동(4146153000)","18,083","18,083","1,626","2,285","2,577","2,354","3,435","3,134","1,575","791","282","24","0","17,757","17,757","1,634","2,152","2,236","2,263","3,423","2,857","1,621","1,014","484","70","3"
"경기도 용인시 처인구 동부동(4146154000)","6,794","6,794","370","649","1,039","799","1,059","1,303","976","444","134","21","0","6,373","6,373","354","537","859","624","989","1,293","939","503","222","47","6"
"경기도 용인시 기흥구 (4146300000)","217,948","217,948","22,682","26,432","28,903","30,015","41,403","33,090","18,670","11,847","4,461","429","16","223,242","223,242","21,569","24,887","27,038","31,227","42,992","32,328","21,546","14,299","6,159","1,146","51"
"경기도 용인시 기흥구 신갈동(4146351000)","19,525","19,525","1,758","1,929","2,609","3,295","3,386","3,174","1,872","1,036","421","42","3","19,540","19,540","1,743","1,784","2,588","3,026","3,346","3,039","1,993","1,338","585","93","5"
"경기도 용인시 기흥구 영덕1동(4146351600)","15,297","15,297","1,862","1,843","1,984","2,413","2,979","2,366","1,165","533","139","13","0","15,460","15,460","1,790","1,736","1,766","2,488","3,058","2,326","1,320","606","310","58","2"
"경기도 용인시 기흥구 영덕2동(4146351700)","8,672","8,672","964","663","1,300","1,677","1,380","1,292","781","358","210","46","1","8,792","8,792","953","623","1,176","1,582","1,365","1,412","849","385","346","100","1"
"경기도 용인시 기흥구 구갈동(4146352000)","21,111","21,111","2,301","1,769","3,239","4,097","3,631","3,257","1,665","878","251","22","1","21,223","21,223","2,156","1,719","3,414","4,014","3,469","3,179","1,786","1,004","397","79","6"
"경기도 용인시 기흥구 상갈동(4146353000)","6,993","6,993","555","666","1,038","1,036","1,283","1,231","597","403","175","8","1","6,547","6,547","468","661","922","872","1,169","1,038","651","514","220","31","1"
"경기도 용인시 기흥구 보라동(4146353500)","16,672","16,672","1,663","2,264","2,021","1,983","3,256","2,554","1,526","1,009","356","38","2","16,931","16,931","1,506","2,116","1,957","2,062","3,339","2,474","1,749","1,175","471","76","6"
"경기도 용인시 기흥구 기흥동(4146354000)","10,502","10,502","955","1,137","1,328","1,385","1,907","1,685","1,177","689","226","13","0","10,704","10,704","958","1,019","1,153","1,413","1,909","1,747","1,373","734","325","70","3"
"경기도 용인시 기흥구 서농동(4146355000)","13,142","13,142","1,660","1,242","2,770","2,341","2,248","1,543","860","348","120","9","1","12,538","12,538","1,644","1,208","1,999","2,330","2,122","1,651","898","453","200","32","1"
"경기도 용인시 기흥구 구성동(4146356000)","19,107","19,107","1,769","2,548","2,199","2,121","3,781","2,810","1,860","1,406","569","43","1","20,411","20,411","1,701","2,353","2,064","2,299","4,065","2,898","2,408","1,777","690","151","5"
"경기도 용인시 기흥구 마북동(4146357000)","15,887","15,887","1,455","1,611","2,087","2,055","2,675","2,465","1,706","1,266","511","54","2","16,601","16,601","1,346","1,511","2,011","2,148","2,793","2,571","1,967","1,524","625","101","4"
"경기도 용인시 기흥구 동백1동(4146357200)","15,918","15,918","1,823","2,917","1,744","1,562","3,826","2,319","877","581","241","28","0","17,082","17,082","1,847","2,813","1,718","1,969","4,169","2,115","1,154","880","356","59","2"
"경기도 용인시 기흥구 동백2동(4146357500)","13,474","13,474","1,430","2,457","1,591","1,112","2,953","2,235","914","558","202","20","2","13,956","13,956","1,324","2,304","1,499","1,468","3,416","1,911","992","671","310","58","3"
"경기도 용인시 기흥구 동백3동(4146357700)","11,358","11,358","1,557","1,533","1,086","1,483","2,442","1,329","826","765","306","30","1","11,998","11,998","1,459","1,462","1,130","1,710","2,507","1,294","1,143","893","349","51","0"
"경기도 용인시 기흥구 상하동(4146358600)","12,268","12,268","1,096","1,494","1,767","1,430","2,186","2,142","1,229","666","240","18","0","12,812","12,812","1,001","1,372","1,648","1,510","2,387","2,153","1,403","859","400","74","5"
"경기도 용인시 기흥구 보정동(4146359000)","18,022","18,022","1,834","2,359","2,140","2,025","3,470","2,688","1,615","1,351","494","45","1","18,647","18,647","1,673","2,206","1,993","2,336","3,878","2,520","1,860","1,486","575","113","7"
"경기도 용인시 수지구 (4146500000)","183,343","183,343","19,139","23,120","23,210","25,063","34,989","27,560","15,239","10,656","3,997","362","8","192,703","192,703","18,516","22,503","23,091","27,609","37,999","26,711","17,757","12,588","4,934","947","48"
"경기도 용인시 수지구 풍덕천1동(4146551000)","18,364","18,364","1,466","1,935","2,799","3,325","3,024","2,723","1,645","1,023","385","37","2","18,565","18,565","1,398","1,834","2,655","2,930","3,208","2,680","1,898","1,294","573","84","11"
"경기도 용인시 수지구 풍덕천2동(4146552000)","20,636","20,636","2,461","2,993","2,439","2,995","4,454","3,051","1,146","695","367","33","2","21,437","21,437","2,422","2,871","2,499","3,416","4,683","2,647","1,244","1,049","529","74","3"
"경기도 용인시 수지구 신봉동(4146553000)","18,657","18,657","1,851","2,722","2,119","1,924","3,770","2,941","1,534","1,264","501","31","0","19,684","19,684","1,842","2,588","1,969","2,243","4,345","2,701","1,868","1,498","531","97","2"
